atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
5.0,,1.0,6.0,,18.0,,,,,1.0,2.0,,,1.0,,,M4VehPIz4OzKcbMD56AHNQ
43.0,12.0,60.0,60.0,12.0,33.0,60.0,,29.0,4.0,16.0,56.0,4.0,5.0,3.0,,,M4pCWzdBCkp2g_d834a7Hw
28.0,3.0,6.0,60.0,1.0,37.0,8.0,3.0,5.0,1.0,3.0,45.0,,1.0,4.0,,,M6Eiyx9LXMetMUxsYe-fvw
23.0,8.0,22.0,18.0,1.0,8.0,18.0,,9.0,,1.0,24.0,1.0,,3.0,,,M7bo7h-S4HqJfIYYghtXOQ
48.0,15.0,31.0,60.0,,36.0,22.0,,26.0,4.0,5.0,30.0,4.0,,3.0,,,M8xnlKQOh0tl58LJCnPUVA
26.0,5.0,60.0,35.0,6.0,28.0,36.0,,15.0,,2.0,34.0,,1.0,2.0,,1.0,MA1QPFSYddVq_KzEldpcRg
27.0,16.0,3.0,39.0,,12.0,6.0,2.0,12.0,,1.0,8.0,4.0,,,,,MAVQQzta-liFNgoeDP5z8A
12.0,5.0,3.0,8.0,,27.0,3.0,7.0,5.0,,,13.0,3.0,,,,,MCatEhGo5Zwe3Wnhr1HX-A
47.0,20.0,60.0,60.0,18.0,26.0,60.0,1.0,37.0,6.0,24.0,47.0,18.0,5.0,3.0,,,MCnexHfsclcOpLHS4_2U0A
25.0,5.0,12.0,19.0,1.0,29.0,15.0,3.0,3.0,1.0,,21.0,,1.0,2.0,,,MKMx5TAmzXfjgLdXgu6FVQ
60.0,24.0,59.0,60.0,8.0,33.0,32.0,,42.0,2.0,7.0,25.0,2.0,1.0,3.0,,,MLFKsPTgN2EHEyD4cPZznQ
29.0,17.0,4.0,43.0,,12.0,7.0,3.0,12.0,,1.0,7.0,4.0,,,,,MLJsyE42tx4R3wKp2eqnRQ
60.0,23.0,60.0,51.0,4.0,22.0,52.0,,27.0,10.0,9.0,60.0,12.0,2.0,5.0,,,MOwB9YYd-Ko6nVgSB-ltQw
32.0,15.0,33.0,41.0,4.0,41.0,28.0,,37.0,7.0,2.0,60.0,2.0,3.0,3.0,,,MT_a_Tg3ENdxqZFQyJocgQ
4.0,3.0,2.0,8.0,,9.0,2.0,,3.0,,,2.0,,,2.0,,,MUYbGM2a38uhFbvhnFusYg
60.0,35.0,60.0,60.0,30.0,39.0,60.0,1.0,60.0,3.0,13.0,60.0,12.0,3.0,5.0,,,MX0Ohq0P73NfMLdkSM7nog
15.0,1.0,4.0,7.0,,19.0,5.0,1.0,1.0,1.0,2.0,18.0,,1.0,2.0,,,McJlk6ywvzcolSd0YElROQ
60.0,20.0,60.0,60.0,3.0,24.0,56.0,1.0,41.0,2.0,11.0,60.0,5.0,5.0,2.0,,,MctQwL9Mp5X7DJk13VoERg
20.0,7.0,1.0,29.0,,21.0,4.0,,3.0,,,14.0,,2.0,4.0,,,MdD_PgW2A4XP1WMkHbOWng
32.0,10.0,28.0,24.0,6.0,46.0,20.0,,18.0,1.0,1.0,43.0,,1.0,7.0,,,MdFV5IBcX-Ni6I4Zy1EqIw
57.0,27.0,60.0,60.0,18.0,25.0,60.0,1.0,59.0,2.0,23.0,43.0,27.0,7.0,6.0,,,Me4TxTbPPQZQopW1wOGx5g
12.0,6.0,3.0,21.0,1.0,7.0,12.0,3.0,1.0,,,21.0,2.0,,,,,MetkzGgQ0ZbO_qmvSMzOdA
6.0,2.0,1.0,1.0,1.0,20.0,2.0,2.0,,,,3.0,,,,,,MfO-RVlhi9DjpB4KaEVxwg
60.0,60.0,60.0,60.0,16.0,50.0,60.0,,30.0,18.0,13.0,60.0,40.0,8.0,5.0,,,Mhu-5t9bi1V0tUgf-LgE3g
60.0,60.0,60.0,20.0,35.0,54.0,60.0,2.0,60.0,3.0,17.0,60.0,32.0,4.0,7.0,,2.0,MoyxzhaYIsJx-p9IuGGK4w
60.0,37.0,60.0,60.0,20.0,17.0,60.0,,37.0,3.0,17.0,43.0,25.0,6.0,11.0,,,MphfKkYFEe0BDQ6hZ0A5fA
31.0,20.0,45.0,34.0,5.0,30.0,34.0,,29.0,3.0,5.0,52.0,3.0,4.0,2.0,,,Mr_ROnIINTdHLWrCcb2z4g
24.0,14.0,8.0,41.0,,26.0,14.0,1.0,5.0,,,16.0,5.0,1.0,5.0,,,My17Ud2T_tXy_9ND9aezpQ
18.0,6.0,1.0,21.0,,10.0,10.0,2.0,,,,18.0,,1.0,2.0,,,MyFqNpQKY4JtQ-gXSeJxUA
16.0,4.0,60.0,6.0,3.0,18.0,29.0,,13.0,,7.0,30.0,1.0,,2.0,,,N-rwVhnEtXg8yY_TlB_KZw
17.0,4.0,22.0,15.0,1.0,15.0,13.0,5.0,6.0,2.0,1.0,24.0,1.0,2.0,4.0,,,N-sbhyxuugMun5_mPovqPg
22.0,7.0,2.0,18.0,,18.0,4.0,4.0,2.0,1.0,,10.0,3.0,2.0,1.0,,,N32lcUnshizWWKrGklsf9g
28.0,9.0,7.0,37.0,,27.0,6.0,3.0,2.0,,,9.0,2.0,2.0,1.0,,,N3h_AvXupuxFHDXhKWwxUw
26.0,7.0,33.0,60.0,,16.0,23.0,2.0,12.0,,,20.0,2.0,,4.0,,,N4HdTn-t4TqnLgre0-zANg
8.0,2.0,5.0,12.0,,7.0,6.0,,,,,1.0,4.0,,,,,N4RciMOXIIue23t-PWj-mw
3.0,,3.0,3.0,,19.0,,1.0,2.0,,,,,,,,,N5xMhepvfbXDS6DL1c55Kw
40.0,5.0,60.0,60.0,15.0,30.0,60.0,1.0,48.0,4.0,18.0,40.0,11.0,5.0,3.0,,,N81_5xlY7dpEqrygi8lVOA
57.0,22.0,60.0,60.0,9.0,35.0,34.0,,42.0,2.0,2.0,60.0,2.0,4.0,4.0,,,N9OihQ22xLyfeDRSZoDCVQ
6.0,3.0,5.0,6.0,2.0,16.0,5.0,1.0,,1.0,,,3.0,,1.0,,,N9RswmlrOAtxwZEghHtxuA
24.0,15.0,23.0,46.0,1.0,20.0,9.0,4.0,6.0,,,17.0,1.0,,5.0,,,N9vL0Rn2-2ivDvmDs0xqqg
60.0,60.0,60.0,39.0,5.0,43.0,60.0,,28.0,,12.0,60.0,6.0,8.0,2.0,,,NA_p2AH5RSBV314bklZn_g
46.0,6.0,4.0,60.0,1.0,22.0,6.0,3.0,1.0,,,32.0,,2.0,9.0,,,NHSVhRS_AwMe5DfLeeIydQ
1.0,,,2.0,,14.0,2.0,5.0,2.0,,1.0,7.0,,,,,,NIGRsA3aRFQUEtxl63IAMQ
60.0,37.0,60.0,60.0,21.0,16.0,60.0,,37.0,3.0,18.0,44.0,27.0,6.0,10.0,,,NImSAO-1r0RYirViah2aIg
8.0,3.0,5.0,6.0,,13.0,3.0,,2.0,,,2.0,2.0,,,,,NK8X96XzDX4uQZI0nSq80Q
56.0,10.0,60.0,44.0,2.0,60.0,57.0,,18.0,14.0,15.0,60.0,17.0,2.0,6.0,,,NMVRHrkdp68twl4CWo1I5A
45.0,16.0,60.0,60.0,11.0,38.0,59.0,1.0,28.0,2.0,10.0,60.0,3.0,4.0,3.0,,2.0,NO39sbbqugt1UdvOAQtmPg
60.0,60.0,60.0,60.0,27.0,60.0,60.0,,60.0,2.0,13.0,60.0,20.0,3.0,4.0,,,NTwOc9yQ1xl5deeVzZqxfw
60.0,33.0,60.0,60.0,31.0,29.0,60.0,1.0,60.0,8.0,10.0,60.0,11.0,1.0,7.0,,,NZNPFJ405oo1z043hH4Fnw
60.0,60.0,60.0,60.0,23.0,60.0,60.0,1.0,52.0,18.0,20.0,60.0,26.0,7.0,5.0,,,NZaq_ygLr4N8-blY5dGx-g
22.0,22.0,14.0,8.0,,8.0,8.0,2.0,6.0,,,9.0,,,,,1.0,NfUKLEcnR5c0cLnztw19IA
6.0,1.0,,2.0,,7.0,1.0,3.0,1.0,,,,2.0,,,,,Nk4ed0CzUUgrTa59YRWkkg
60.0,24.0,60.0,60.0,14.0,48.0,45.0,,31.0,1.0,8.0,60.0,3.0,1.0,5.0,,,NkAUvrtAcnebxPB6zayjsg
60.0,55.0,60.0,60.0,28.0,47.0,60.0,,60.0,3.0,15.0,60.0,27.0,4.0,4.0,,1.0,NlsxuhV6CUONOyI7xk7-mw
60.0,60.0,60.0,60.0,32.0,50.0,60.0,,60.0,3.0,15.0,60.0,27.0,4.0,4.0,,2.0,NqwwyMMXIS-JnwdDQBQT9A
60.0,58.0,60.0,60.0,21.0,60.0,60.0,1.0,54.0,20.0,20.0,60.0,28.0,7.0,7.0,,,Nz3ednIoYXg1NwOn7jnTOQ
25.0,10.0,11.0,15.0,,21.0,4.0,,8.0,1.0,3.0,13.0,2.0,,2.0,,1.0,O3uSmOvvrM_Z8SJa2IFveg
27.0,13.0,29.0,45.0,2.0,18.0,8.0,7.0,18.0,1.0,1.0,6.0,,,2.0,,1.0,O8hZJ5OLb0Aj4uEozrUg8g
54.0,18.0,60.0,60.0,5.0,36.0,38.0,,35.0,,3.0,59.0,2.0,3.0,6.0,,,OAqsZMbjv66nOMqlimnYuQ
60.0,39.0,60.0,60.0,16.0,17.0,60.0,,37.0,3.0,14.0,49.0,25.0,6.0,10.0,,,OCTiJwvjoK81WoDwsTkFvA
28.0,12.0,21.0,22.0,1.0,22.0,14.0,1.0,14.0,,,30.0,1.0,3.0,4.0,1.0,,OHLS_n_K32tQ2NP9ggt-kg
24.0,5.0,10.0,16.0,,21.0,5.0,,3.0,1.0,1.0,11.0,2.0,2.0,3.0,,,OKc49LvmOgteQoFqzzmv_A
18.0,3.0,27.0,17.0,3.0,18.0,16.0,3.0,17.0,2.0,2.0,29.0,1.0,1.0,2.0,1.0,,OMRkRHFXmS9txTWirA-yMA
60.0,60.0,60.0,60.0,15.0,44.0,60.0,1.0,43.0,7.0,6.0,60.0,13.0,2.0,2.0,,,OMp-wasWFsrOo6MYX2zw6Q
7.0,3.0,3.0,24.0,,8.0,3.0,3.0,6.0,,,11.0,1.0,,1.0,,,OOqlvJmCYotjLAWglgB58A
11.0,1.0,8.0,12.0,2.0,25.0,12.0,,6.0,,1.0,18.0,,1.0,4.0,,,OYKNRBU-unLF-r0bRZwY3A
2.0,1.0,7.0,15.0,,11.0,4.0,2.0,4.0,1.0,,8.0,2.0,,,,,O_mkI6--eDcCYNI7HEAlWw
29.0,11.0,10.0,37.0,1.0,33.0,6.0,3.0,2.0,,,12.0,3.0,1.0,2.0,,,Obr6rLjib-n2S6IdJqasuQ
3.0,,6.0,2.0,,13.0,1.0,1.0,,,1.0,2.0,,,,,,OcCrSDYR5cETO4FZ7R2iEg
6.0,,8.0,3.0,,14.0,4.0,,1.0,,,5.0,1.0,,,,,OhUwfEt_scdr6tiptSI8NQ
,,3.0,2.0,,2.0,3.0,,3.0,2.0,,,7.0,,1.0,,,OoECsn8W4jLMPy9yUbioow
17.0,9.0,10.0,3.0,1.0,20.0,8.0,1.0,7.0,1.0,1.0,30.0,1.0,,2.0,,,OqNmzS2N2I750zYgUC6IgA
17.0,2.0,15.0,12.0,,31.0,11.0,1.0,4.0,,,29.0,,2.0,3.0,,,OzgvdC0oJPh1FQTLJF2yXw
22.0,6.0,14.0,37.0,,28.0,17.0,3.0,,,,13.0,,1.0,3.0,,,P1hH4JDmzCX9hs-lZ-GCNw
60.0,27.0,60.0,60.0,7.0,41.0,60.0,,53.0,6.0,8.0,60.0,3.0,5.0,2.0,,,P2CTp4xyaNCe2AXSiLeOSQ
10.0,2.0,3.0,11.0,,25.0,11.0,7.0,,,,7.0,1.0,1.0,5.0,,,P2bxlKAmRWZIpHdJ_JT3fg
,,1.0,,,,,2.0,,,,,,,,,,P2xFmVGHiUt5hdnTxSxJnw
46.0,11.0,60.0,60.0,10.0,33.0,60.0,,34.0,5.0,15.0,58.0,4.0,4.0,3.0,,,P4hm-IKNMbBbtfWSvPf25A
8.0,3.0,10.0,2.0,,10.0,3.0,,6.0,1.0,2.0,8.0,1.0,,1.0,,1.0,P4iD0CGBWbLAErbWP9uIDQ
5.0,1.0,5.0,5.0,,8.0,,4.0,2.0,,1.0,2.0,2.0,,1.0,,,P6SiaPYpbduSSKt6lOAkuA
44.0,20.0,60.0,58.0,10.0,46.0,42.0,,35.0,1.0,8.0,56.0,4.0,3.0,2.0,,,PBUIaPtgnhmdHE3KHglK-g
32.0,6.0,27.0,16.0,5.0,23.0,21.0,,9.0,3.0,11.0,30.0,1.0,1.0,2.0,,,PHSsvGDW6Rh2pGWEDTrDew
49.0,13.0,60.0,60.0,13.0,32.0,60.0,,24.0,4.0,3.0,56.0,3.0,4.0,1.0,,2.0,POGfmcCkuLpkP_Vz98DuwQ
60.0,60.0,60.0,60.0,21.0,60.0,60.0,1.0,41.0,8.0,12.0,60.0,13.0,2.0,2.0,,4.0,PSnNzN1rrIGM5Oj8Yu20Ew
7.0,3.0,3.0,23.0,1.0,20.0,2.0,2.0,3.0,,,9.0,1.0,,3.0,,,PT_yFcJdOmNQcPzLMqG3pA
60.0,60.0,60.0,60.0,19.0,60.0,60.0,1.0,44.0,7.0,13.0,60.0,9.0,2.0,2.0,,4.0,PWzDV2G8ZGnIgjFupSZhQw
,,,,,,,,,,,1.0,,,,,,PXGT_WvbbsCnPcguMm15Tw
15.0,4.0,23.0,14.0,1.0,21.0,15.0,5.0,8.0,2.0,2.0,24.0,1.0,2.0,4.0,,,PXTzmqJW7gbK-IkfKBEnFw
43.0,16.0,60.0,60.0,12.0,26.0,60.0,,21.0,4.0,8.0,60.0,2.0,4.0,2.0,,1.0,PYcL2z9gHj6-ZTlViT9Nqw
12.0,12.0,23.0,32.0,1.0,9.0,6.0,,9.0,,,15.0,,,,,1.0,PZKv6Nj9XcA2xB8qNx1p2A
34.0,9.0,60.0,23.0,9.0,29.0,52.0,,17.0,3.0,6.0,37.0,1.0,4.0,1.0,,1.0,P_UREWCQxEYVbBa-KW_Wew
26.0,9.0,24.0,24.0,,24.0,21.0,,19.0,,,44.0,,1.0,4.0,2.0,,PiDidGDx15RYgiQFKeFZSg
15.0,5.0,5.0,10.0,1.0,5.0,,3.0,5.0,,,2.0,2.0,,1.0,,,PlqxcNNb5PfDO0IQwCc5nQ
26.0,11.0,60.0,9.0,3.0,26.0,33.0,1.0,10.0,,6.0,31.0,1.0,1.0,3.0,,,Pm-thVYtl3RWC0m3y_AeWg
7.0,2.0,1.0,5.0,,21.0,,,2.0,,,9.0,1.0,,1.0,,,PnC2vFOBeM8PKxItIDMfYQ
12.0,4.0,1.0,5.0,,16.0,3.0,1.0,1.0,,,4.0,1.0,,,,,Q-tDhNaMdsu4Ut1miSe41g
29.0,8.0,35.0,56.0,8.0,34.0,22.0,1.0,22.0,5.0,11.0,60.0,3.0,3.0,2.0,,,Q1_UvNyONsaVS_VC1mD9Dw
60.0,60.0,60.0,60.0,13.0,42.0,60.0,,53.0,2.0,3.0,53.0,8.0,2.0,5.0,,,Q23LvHPuC9ajSbMEt8xoUw
34.0,15.0,34.0,47.0,5.0,50.0,34.0,,39.0,7.0,2.0,60.0,2.0,2.0,4.0,,,QA3PkY9R7qFeg7CVRZHsAw
,,2.0,8.0,,9.0,,1.0,3.0,,,,,,,,,QH4ppzc-HV1zqZjmERtB8A
28.0,13.0,41.0,35.0,3.0,21.0,23.0,1.0,15.0,2.0,1.0,28.0,1.0,1.0,4.0,,,QIsFsiOP3H_NkgeWST7GPA
11.0,6.0,17.0,29.0,,18.0,12.0,1.0,3.0,,,15.0,3.0,,1.0,,,QLaXnQ_JU-SNrONvYnGNFQ
26.0,13.0,28.0,46.0,2.0,17.0,8.0,4.0,18.0,1.0,2.0,6.0,1.0,,2.0,,1.0,QMY7gfES9HQKahLcXHej9Q
60.0,16.0,60.0,42.0,4.0,59.0,60.0,,18.0,18.0,13.0,60.0,20.0,4.0,4.0,,,QObHX0yR6zd0WfksRDbJTA
16.0,2.0,5.0,18.0,1.0,31.0,4.0,,3.0,,,14.0,,,3.0,,,QPflYYZx3nt_AmZMDgssyg
9.0,2.0,1.0,4.0,,13.0,2.0,,,,,7.0,,,,,,QRQWbXVTlgDBKdvNq6BrwQ
13.0,2.0,17.0,8.0,,13.0,12.0,2.0,6.0,,,35.0,,1.0,2.0,,,QRbD99HVMffeto7_Hq67CQ
60.0,60.0,60.0,60.0,17.0,60.0,60.0,,51.0,7.0,8.0,46.0,15.0,5.0,2.0,,,QUTSHrHw3qRZjf749VM1Yg
27.0,6.0,60.0,26.0,7.0,20.0,47.0,,28.0,3.0,5.0,24.0,,1.0,4.0,,,QVWmn5jmy_TPmg0G71Dk5g
1.0,,3.0,4.0,2.0,1.0,3.0,,,,5.0,1.0,,,,,,QW8vHJM19SRnHFb0XApqWg
44.0,11.0,60.0,60.0,14.0,40.0,60.0,,51.0,5.0,24.0,60.0,6.0,3.0,4.0,,,Qg7liUB5cZkGvBXkO7QOWg
43.0,8.0,34.0,51.0,1.0,27.0,18.0,1.0,23.0,1.0,1.0,44.0,,1.0,1.0,,,QgEre4IFSHxbUvHMe8S12g
39.0,4.0,24.0,41.0,,21.0,14.0,2.0,3.0,,1.0,29.0,1.0,2.0,4.0,,,Qq_YecqcQ8dhC1P-SWXPOQ
16.0,15.0,21.0,11.0,3.0,22.0,26.0,,8.0,2.0,9.0,21.0,5.0,3.0,3.0,,1.0,QvQilClGyuKFz08TBsoJNA
15.0,14.0,3.0,41.0,1.0,24.0,11.0,1.0,,,,20.0,7.0,,12.0,,,Qz5E5sPtETWD3kwEUsBZpw
25.0,9.0,12.0,24.0,3.0,43.0,26.0,1.0,8.0,2.0,3.0,52.0,5.0,5.0,3.0,,,R-SI-4QEBKp21vUflzwerg
8.0,3.0,3.0,14.0,,8.0,3.0,5.0,1.0,,,1.0,,,1.0,,1.0,R-_XgceId6dfJdgXSlZETQ
60.0,31.0,60.0,60.0,16.0,30.0,60.0,1.0,60.0,5.0,7.0,60.0,17.0,5.0,5.0,,2.0,R-biStUvl2zuhIQFk40GsQ
6.0,2.0,6.0,9.0,1.0,5.0,4.0,1.0,,,,2.0,2.0,,1.0,,,R38zy8B4p5x2uA4bccUyFQ
60.0,60.0,60.0,60.0,13.0,41.0,60.0,,50.0,3.0,4.0,60.0,10.0,2.0,4.0,,,R3gSQGB3aEmVpwbKIgOPqg
41.0,15.0,60.0,60.0,21.0,25.0,60.0,1.0,43.0,5.0,16.0,60.0,14.0,4.0,3.0,,,R5jpETY0OshPn-AeJjs0fA
27.0,8.0,15.0,41.0,1.0,35.0,10.0,,6.0,2.0,3.0,58.0,2.0,1.0,7.0,,,RI-tVET-wKFeRNKm4cg0wQ
49.0,13.0,60.0,60.0,13.0,32.0,60.0,,21.0,4.0,3.0,57.0,3.0,4.0,1.0,,2.0,RLJ5BUm89VySJWHHvmSzEQ
8.0,3.0,5.0,7.0,,11.0,3.0,,3.0,,,,2.0,,,,,RPBQC0LGOI1FrXiGKn0jHw
55.0,16.0,60.0,60.0,11.0,34.0,60.0,1.0,17.0,2.0,4.0,51.0,2.0,4.0,2.0,,2.0,RQi2YmAkk8g9WdNStAhfbQ
9.0,6.0,,10.0,,13.0,1.0,,2.0,,,8.0,2.0,,1.0,,,RR93zrkM6-PunGxwAPTuqw
44.0,11.0,60.0,60.0,11.0,43.0,60.0,,40.0,8.0,21.0,60.0,6.0,2.0,4.0,,,RXCCofQw1EjTcSN0ZeXfRA
51.0,11.0,60.0,40.0,4.0,60.0,60.0,,18.0,13.0,12.0,60.0,17.0,1.0,6.0,,,Rc1lxc5lSKJYd162JHNMfQ
10.0,6.0,5.0,8.0,,18.0,4.0,,1.0,,1.0,8.0,,,1.0,,,RfkuPrAKQRFPC3D_0ugnEQ
20.0,10.0,21.0,30.0,,27.0,11.0,2.0,6.0,,,12.0,2.0,,4.0,,2.0,RgtjfOte4M88fiNFM4KNvw
11.0,1.0,,20.0,,19.0,5.0,3.0,1.0,,,7.0,,1.0,1.0,,,RiN-EOiQLXlJszhe6HJdZA
8.0,1.0,3.0,7.0,,31.0,5.0,,3.0,,,5.0,,,1.0,,1.0,Rl5_NQgeo0yJbnPJWom0tg
24.0,5.0,60.0,22.0,7.0,15.0,41.0,,26.0,2.0,3.0,20.0,,1.0,4.0,,,Rn3Lf7BLoMHul0dEiNtT5Q
60.0,60.0,60.0,60.0,23.0,60.0,60.0,1.0,29.0,4.0,12.0,48.0,25.0,2.0,3.0,,,Ropty31AcksOu4-p-iOtkA
22.0,11.0,39.0,28.0,5.0,38.0,27.0,,28.0,7.0,4.0,60.0,5.0,3.0,3.0,,,RqCMsa0IuHWhML0BEjW8_w
7.0,2.0,,6.0,,4.0,1.0,2.0,,,,,1.0,,3.0,,,RqzyMSXMQYvcUK36QwmYKg
31.0,15.0,17.0,25.0,2.0,20.0,20.0,,14.0,1.0,2.0,35.0,2.0,4.0,1.0,,,RrPIJvmje1qb9iaYd6jH0g
9.0,,6.0,3.0,1.0,12.0,10.0,1.0,2.0,,,12.0,,,,,,RtZqb7vPLnD0TbP37b8zeg
60.0,60.0,60.0,60.0,18.0,40.0,60.0,1.0,32.0,17.0,14.0,60.0,37.0,5.0,4.0,,,S-BwjmHOZ--bC4nUR4-cmA
29.0,15.0,27.0,43.0,3.0,8.0,22.0,,16.0,,1.0,16.0,2.0,1.0,3.0,,,S0YxOutCTnZwS0-L1lGoyg
15.0,4.0,3.0,16.0,,7.0,,2.0,3.0,,,2.0,,,,,,S2_ULuVBE-LejxwZ_o8ifA
54.0,15.0,60.0,60.0,14.0,41.0,60.0,,41.0,10.0,23.0,60.0,10.0,2.0,3.0,,,S37Fd4Jrwuv6R1DukmlqSQ
26.0,14.0,25.0,34.0,3.0,8.0,18.0,,14.0,,1.0,12.0,2.0,1.0,2.0,,,S9QZOR4UwfvYPPcHWfmNTw
13.0,4.0,1.0,12.0,,9.0,2.0,1.0,2.0,,,7.0,,,1.0,,1.0,S9sc-6uSsplyU073_4waTQ
14.0,2.0,8.0,46.0,1.0,21.0,10.0,3.0,1.0,,,27.0,1.0,2.0,1.0,,,SDMWjbwgd4e9B5q1C9Vflg
9.0,4.0,4.0,10.0,1.0,,3.0,,9.0,2.0,1.0,7.0,4.0,,,,,SNL7qe_lLrwUVwe_7k84zw
9.0,3.0,10.0,8.0,,9.0,4.0,5.0,,,,5.0,,,2.0,,,SNVjVR0jADcxZOZrNZtABQ
2.0,,4.0,7.0,,3.0,2.0,,2.0,1.0,,1.0,1.0,,,,,SNtbNK_YRe4mLzFkJggdlg
28.0,13.0,49.0,41.0,2.0,25.0,29.0,1.0,20.0,2.0,1.0,25.0,1.0,2.0,3.0,,,SPYMe1nvAEFfgacIqSsHIg
13.0,5.0,15.0,13.0,3.0,9.0,14.0,1.0,8.0,1.0,,23.0,,,2.0,,,STmm7XwuwrtnPJ9QMqGr9g
48.0,14.0,60.0,60.0,12.0,30.0,60.0,,21.0,2.0,4.0,46.0,2.0,4.0,1.0,,2.0,SUbNA5z-LokTPQj5cdds8Q
26.0,1.0,10.0,27.0,1.0,41.0,4.0,3.0,2.0,,4.0,33.0,,2.0,5.0,,,SX7Q8rXjzDVzuOverx_3ig
36.0,8.0,20.0,42.0,1.0,32.0,10.0,,6.0,2.0,4.0,56.0,2.0,2.0,7.0,,,SXEnbcwgIcueFdvWtkAW-g
60.0,42.0,60.0,60.0,14.0,18.0,60.0,,34.0,3.0,16.0,53.0,25.0,6.0,10.0,,,SbevrHJ2M5Oc8_SHi79YQg
15.0,6.0,23.0,11.0,2.0,20.0,12.0,4.0,13.0,,3.0,15.0,1.0,3.0,2.0,,1.0,Sj3JYCbaEFrAqUzRrenQbg
20.0,15.0,13.0,35.0,1.0,12.0,9.0,1.0,7.0,1.0,2.0,8.0,2.0,,,,,SlPxySdM08oUi-3sdwz7Lg
11.0,6.0,20.0,16.0,1.0,30.0,11.0,,5.0,,1.0,38.0,,1.0,1.0,,,St8a2de1vfyCxwIySBUWbA
60.0,60.0,60.0,60.0,11.0,39.0,60.0,1.0,42.0,13.0,12.0,60.0,15.0,5.0,6.0,,,StpOKezaW-AyN2xA1EJKvw
34.0,13.0,37.0,60.0,10.0,33.0,27.0,,20.0,3.0,4.0,60.0,1.0,2.0,2.0,,,Su-MRJLlxUtjU_-V5viYYA
15.0,2.0,9.0,21.0,,31.0,2.0,,2.0,,,14.0,2.0,2.0,,,,Swq7fTxSpoTUY1UBk8oOKA
14.0,5.0,27.0,12.0,1.0,21.0,12.0,4.0,14.0,,3.0,18.0,,3.0,3.0,,1.0,SyBFnqsPEge00N0_bHs2fQ
42.0,11.0,60.0,60.0,16.0,43.0,60.0,,42.0,9.0,23.0,60.0,7.0,2.0,4.0,,,SysAthrDghPL62a6OElOCQ
42.0,41.0,14.0,14.0,,11.0,12.0,1.0,7.0,,,8.0,,,,,,T8Ccba1PbU2tSlToUMDRmg
60.0,30.0,60.0,60.0,26.0,35.0,60.0,1.0,60.0,8.0,9.0,60.0,13.0,4.0,8.0,,,T8WfkzuVi96qCpj1tWjlxw
6.0,1.0,,4.0,,6.0,,1.0,,,,5.0,3.0,,1.0,,,TBMDCBzOo6vQzqI1G0jgEQ
7.0,1.0,10.0,9.0,3.0,8.0,5.0,1.0,3.0,,,14.0,,,2.0,,,TCJrcryBkI6eg2HYThoiKg
3.0,,1.0,3.0,,17.0,,,1.0,,,2.0,,,,,,TCPZLIG8mkX0iOD4K3_wAw
10.0,5.0,17.0,29.0,,17.0,12.0,1.0,3.0,,,13.0,2.0,,1.0,,,THKnKxcaYAW4ItT8HMZvhA
23.0,5.0,60.0,18.0,7.0,14.0,36.0,,24.0,2.0,2.0,17.0,,1.0,4.0,,,TNGuA8P2b10vaZT1CiuQMw
60.0,46.0,60.0,43.0,10.0,60.0,60.0,,21.0,25.0,16.0,60.0,24.0,7.0,2.0,,,TNymQn5Fb0GobRGbax1vRQ
3.0,,2.0,1.0,,8.0,,,1.0,,,2.0,,,,,,TOqkNXJ9yHwzYBTCgS559Q
21.0,11.0,14.0,57.0,13.0,28.0,16.0,,14.0,,10.0,36.0,1.0,1.0,3.0,,,TQEajJ-kahYPOToGZIyyaA
14.0,2.0,19.0,12.0,,18.0,10.0,5.0,11.0,,1.0,13.0,,,4.0,,,TS2mqGtNhOzMKcSqJvrBPg
42.0,6.0,17.0,36.0,,16.0,14.0,3.0,,,,30.0,1.0,,2.0,,,TSj3yJCHBMEQ0caKtMX9ng
6.0,,1.0,1.0,,7.0,1.0,3.0,1.0,,,1.0,,,,,,TStp4KRSAk5vt_0PIYadnw
42.0,7.0,60.0,60.0,11.0,34.0,60.0,,36.0,6.0,18.0,55.0,4.0,1.0,3.0,,,TWH4MjLtN1fKlF-7n6YXHg
60.0,60.0,60.0,60.0,12.0,60.0,60.0,1.0,34.0,6.0,12.0,48.0,10.0,4.0,5.0,,,TWVmYLuG-w6fsrzKpmX6XQ
60.0,17.0,60.0,42.0,4.0,60.0,60.0,,17.0,22.0,16.0,60.0,22.0,4.0,4.0,,,TY68GixhXgHuEXYzzx6KSw
24.0,12.0,60.0,14.0,6.0,21.0,33.0,1.0,10.0,,6.0,27.0,,1.0,3.0,,,TYKqS9eoC4xiixTNP_xsMQ
60.0,48.0,60.0,60.0,8.0,43.0,45.0,,60.0,5.0,7.0,37.0,8.0,3.0,2.0,,,TZto7AjdA337XIw66AOpUw
20.0,12.0,8.0,4.0,,5.0,7.0,,4.0,1.0,,2.0,5.0,,1.0,,1.0,T_vLaKsuyJPDpsrSZuc7WA
16.0,5.0,4.0,23.0,,13.0,9.0,,,1.0,,17.0,,,,,,TcFX3l4CxEkh8C8oHlsJ4w
